専門教育科目　情報科学部　4学科共通,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門基礎科目,解析学Ⅰ,2,0,0,1年・前期,なし
専門基礎科目,解析学Ⅰ演習,1,0,0,1年・前期,なし
専門基礎科目,線形代数学Ⅰ,2,0,0,1年・前期,なし
専門基礎科目,線形代数学Ⅰ演習,1,0,0,1年・前期,なし
専門基礎科目,プログラミングⅠ,2,0,0,1年・第2ターム(前期),なし
専門基礎科目,プログラミングⅠ演習,1,0,0,1年・第2ターム(前期),なし
専門基礎科目,コンピュータ基礎,2,0,0,1年・前期,なし
専門基礎科目,解析学Ⅱ,0,2,0,1年・後期,なし
専門基礎科目,線形代数学Ⅱ,2,0,0,1年・後期,なし
専門基礎科目,実社会指向基礎数学,2,0,0,1年・後期,なし
専門基礎科目,プログラミングⅡ,2,0,0,1年・後期,なし
専門基礎科目,プログラミングⅡ演習,1,0,0,1年・後期,なし
専門基礎科目,データ構造とアルゴリズムⅠ,2,0,0,1年・後期,なし
専門基礎科目,情報科学序説,0,1,0,1年・第3ターム(後期),なし
専門基礎科目,離散数学,0,2,0,2年・第1ターム(前期),なし
専門基礎科目,確率統計,2,0,0,2年・第1ターム(前期),なし
専門基礎科目,情報基礎数学,0,2,0,2年・第2ターム(前期),なし
専門基礎科目,幾何学概論,0,0,2,2年・第1ターム(前期),なし
専門基礎科目,情報ネットワーク,0,2,0,2年・第1ターム(前期),なし
専門基礎科目,データ構造とアルゴリズムⅡ,0,2,0,2年・第2ターム(前期),なし
専門基礎科目,実践的AI技術,0,2,0,2年・第2ターム(前期),なし
専門基礎科目,批判的創造的思考法,0,2,0,2年・第4ターム(後期),なし
専門基礎科目,実践的ICT活用事例,0,2,0,2年・第4ターム(後期),なし
専門基礎科目,課題解決型演習,0,1,0,2年次,【地域貢献特定プログラム】
専門基礎科目,システム開発実践,0,2,0,3年次,【地域貢献特定プログラム】
専門基礎科目,情報科学基礎実験a,1,0,0,2年次,なし
専門基礎科目,情報科学基礎実験b,1,0,0,2年次,なし
専門基礎科目,情報科学基礎実験c,1,0,0,2年次,なし
専門基礎科目,情報セキュリティ基礎,2,0,0,2年・第3ターム(後期),なし
専門基礎科目,モデル化とシミレーション,0,0,2,2年・第3ターム(後期),なし
