全学共通系科目　総合共通科目,,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,対象学部,備考
広島・地域志向科目,広島の観光学,0,2,0,1・2年・前期,全学部,【地域貢献特定プログラム科目】
広島・地域志向科目,ひろしま論,0,2,0,1・2年・前期,全学部,【地域貢献特定プログラム科目】
広島・地域志向科目,広島の産業と技術,0,2,0,1・2年・後期,全学部,【地域貢献特定プログラム科目】
広島・地域志向科目,地域再生論入門,0,2,0,1・2年・後期,全学部,【地域貢献特定プログラム科目】
広島・地域志向科目,NPO論,0,2,0,1・2年・前期,全学部,【地域貢献特定プログラム科目】
広島・地域志向科目,地域ボラティア活動,0,2,0,1・2年・前期,全学部,【地域貢献特定プログラム科目】
広島・地域志向科目,地域課題演習,0,2,0,1・2年次,全学部,【地域貢献特定プログラム科目】
平和科目,平和と人権A(ヒロシマと国際平和),0,2,0,1・2年・前期,全学部,なし
平和科目,平和と人権B(現代世界と人権),0,2,0,1・2年・後期,全学部,なし
平和科目,広島からの平和学：実践の方法,0,2,0,1・2年・後期,全学部,なし
平和科目,平和インターンシップ,0,2,0,1・2年・前期,全学部,なし
平和科目,国際化時代の平和,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),哲学A,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),哲学B,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),世界の宗教,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),心理学,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),歴史学,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),現代史A,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),現代史B,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),文学から学ぶ世界,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),法学(日本国憲法),0,2,0,1・2年・前後期,全学部,「法学(日本国憲法)」は、前期、後期どちらにも開講しますが、前期は国際学部生、後期は情報科学部生及び芸術学 部生を対象とします。
共通科目A(人間と社会),政治学,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),経済学,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),社会学,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),文化人類学,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),自然人類学,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),経営学,0,2,0,1・2年・後期,全学部,なし
共通科目A(人間と社会),心の健康・身体の健康,0,2,0,1・2年・前期,全学部,なし
共通科目A(人間と社会),メディアと社会,0,2,0,1・2年・前期,全学部,なし
共通科目B(数理と自然),数学概論,0,2,0,1・2年・前期,国際・芸術,なし
共通科目B(数理と自然),物理学概論,0,2,0,1・2年・第1ターム(前期),国際・芸術,なし
共通科目B(数理と自然),基礎物理学,0,2,0,1・2年・第1ターム(前期),全学部,対象学部は「全学部」としていますが、主として情報科学部の学生向けの講義内容となっています。
共通科目B(数理と自然),化学概論,0,2,0,1・2年・後期,国際・芸術,なし
共通科目B(数理と自然),基礎化学,0,2,0,1・2年・前期,全学部,対象学部は「全学部」としていますが、主として情報科学部の学生向けの講義内容となっています。
共通科目B(数理と自然),生物学概論,0,2,0,1・2年・前期,国際・芸術,なし
共通科目B(数理と自然),基礎生化学,0,2,0,1・2年・後期,全学部,対象学部は「全学部」としていますが、主として情報科学部の学生向けの講義内容となっています。
共通科目B(数理と自然),情報科学概論,0,2,0,1・2年・後期,国際・芸術,なし
共通科目B(数理と自然),物理・化学実験,0,2,0,1・2年・後期,全学部,対象学部は「全学部」としていますが、主として情報科学部の学生向けの講義内容となっています。
共通科目B(数理と自然),地球環境論,0,2,0,1・2年・前期,全学部,なし
共通科目B(数理と自然),情報社会論,0,2,0,1・2年・後期,全学部,なし
共通科目C(芸術),デッサン概論,0,2,0,1・2年・前期,国際・情報,なし
共通科目C(芸術),油絵入門,0,2,0,1・2年・第4ターム(後期),国際・情報,なし
共通科目C(芸術),日本画入門,0,2,0,1・2年・第3ターム(後期),国際・情報,なし
共通科目C(芸術),立体造形概論,0,2,0,1・2年・後期,国際・情報,なし
共通科目C(芸術),プレゼンテーション概論,0,2,0,1・2年・前期,全学部,なし
共通科目C(芸術),デザイン工芸概論,0,2,0,1・2年・後期,全学部,なし
共通科目C(芸術),コンピュータ・アート,0,2,0,2年・後期,全学部,対象学部は「全学部」としていますが、主として情報科学部の学生向けの講義内容となっています。
共通科目C(芸術),創作と人間,0,2,0,1・2年・前期,全学部,なし
初年時演習科目,3学部合同基礎演習,1,0,0,1年・前期,全学部,なし
キャリア形成・実践科目,キャリアデザインi,0,1,0,1・2年・第1ターム(前期),全学部,なし
キャリア形成・実践科目,キャリアデザインii,0,1,0,1・2年・第4ターム(後期),全学部,なし
キャリア形成・実践科目,キャリアサポートベーシックA,0,1,0,2・3年・前期,全学部,なし
キャリア形成・実践科目,キャリアサポートベーシックB,0,1,0,2・3年・後期,全学部,なし
キャリア形成・実践科目,インターンシップ・ベーシック,0,1,0,1・2年・通年,全学部,なし
キャリア形成・実践科目,国際交流演習Ⅰ,0,1,0,1~4年・通年,全学部,なし
キャリア形成・実践科目,国際交流演習Ⅱ,0,1,0,1~4年・通年,全学部,なし
キャリア形成・実践科目,国際交流演習Ⅲ,0,1,0,1~4年・通年,全学部,なし
キャリア形成・実践科目,国際交流演習Ⅳ,0,1,0,1~4年・通年,全学部,なし
