専門教育科目　国際学部　国際学科,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門基礎科目　ベーシック入門科目,国際研究入門,2,0,0,1年・前期,なし
専門基礎科目　ベーシック入門科目,データ分析入門,0,2,0,1年・後期,なし
専門基礎科目　ベーシック基礎科目,基礎演習,1,0,0,1年・後期,なし
専門基礎科目　ベーシック基礎科目,発展演習Ⅰ,1,0,0,2年・前期,なし
専門基礎科目　ベーシック基礎科目,発展演習Ⅱ,1,0,0,2年・後期,なし
専門基礎科目　英語スキルアップ科目,英語読解法Ⅰ,0,2,0,2年・前期,なし
専門基礎科目　英語スキルアップ科目,英語読解法Ⅱ,0,2,0,2年・後期,なし
専門基礎科目　英語スキルアップ科目,英語討論技法Ⅰ,0,2,0,2年・前期,なし
専門基礎科目　英語スキルアップ科目,英語討論技法Ⅱ,0,2,0,2年・後期,なし
専門基礎科目　英語スキルアップ科目,英語文法Ⅰ,0,2,0,2年・前期,なし
専門基礎科目　英語スキルアップ科目,英語文法Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,国際関係論,0,2,0,1年・前期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,国際関係史入門,0,2,0,1年・後期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,平和研究入門,0,2,0,1年・後期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,国際安全保障論,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,比較政治学,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,国際協力論Ⅰ,0,2,0,2年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　国際政治・平和プログラム,国際協力論Ⅱ,0,2,0,2年・後期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　国際政治・平和プログラム,国際社会論Ⅰ,0,2,0,2年・前期,多文化※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　国際政治・平和プログラム,国際社会論Ⅱ,0,2,0,2年・後期,多文化※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　国際政治・平和プログラム,平和研究Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,平和研究Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際政治・平和プログラム,国際関係史(中国)Ⅰ,0,2,0,2年・前期,なし
