資格取得関係科目,,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,対象学部,備考
教育職員免許状受領資格取得関係科目,教師論,0,0,2,1年・後期,全学部,なし
教育職員免許状受領資格取得関係科目,教育原理,0,0,2,2年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,教育心理学,0,0,2,2年・後期,全学部,なし
教育職員免許状受領資格取得関係科目,教育課程論,0,0,1,２年・第3ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,教育経営学,0,0,2,3年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,特別支援教育論,0,0,1,3年・第1ターム(前期),全学部,なし
教育職員免許状受領資格取得関係科目,生徒・進路指導論,0,0,2,2年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,道徳教育論,0,0,2,2年・後期,全学部,なし
教育職員免許状受領資格取得関係科目,教育方法・技術論,0,0,2,2年・第3ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,教育相談論,0,0,2,2年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,情報通信技術を活用した教育の理論,0,0,1,2年・第4ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,総合的な学習の時間論,0,0,1,2年・第4ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,特別活動論,0,0,1,3年・第2ターム(前期),全学部,なし
教育職員免許状受領資格取得関係科目,教科教育法(美術)A I,0,0,2,2年・前期,芸術,なし
教育職員免許状受領資格取得関係科目,教科教育法(美術)AⅡ,0,0,2,2年・後期,芸術,なし
教育職員免許状受領資格取得関係科目,教科教育法(美術)B I,0,0,2,3年・前期,芸術,なし
教育職員免許状受領資格取得関係科目,教科教育法(美術)BⅡ,0,0,2,3年・後期,芸術,なし
教育職員免許状受領資格取得関係科目,教科教育法(工芸) I,0,0,2,3年・前期,芸術,なし
教育職員免許状受領資格取得関係科目,教科教育法(工芸)Ⅱ,0,0,2,3年・後期,芸術,なし
教育職員免許状受領資格取得関係科目,教育実習Ⅰ,0,0,3,4年次,全学部,なし
教育職員免許状受領資格取得関係科目,教育実習Ⅱ,0,0,2,4年次,全学部,なし
教育職員免許状受領資格取得関係科目,教職実践演習(中等)C,0,0,2,4年・後期,芸術,なし
教育職員免許状受領資格取得関係科目,学校インターンシップ,0,0,2,2・3・4年次,国際・芸術,なし
教育職員免許状受領資格取得関係科目,教職特講,0,0,2,3年・後期,全学部,なし
学芸員資格取得関係科目,生涯学習概論,0,0,2,1年・後期,芸術,国際学部は学部専門科目(公共政策・NPOプログラム)の選択科目として履修すること。情報科学部の学生が履修するためには、「他学部履修」の手続き絵お行う必要があります。
学芸員資格取得関係科目,博物館教育論,0,0,2,2年・前期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館資料論,0,0,2,2年・後期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館概論,0,0,2,3年・前期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館経営論,0,0,2,3年・後期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館資料保存論,0,0,2,3年・後期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館展示論,0,0,2,3年・後期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館情報・メディア論,0,0,2,3年・後期,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
学芸員資格取得関係科目,博物館実習,0,0,3,4年次,芸術,国際学部、情報学部の学生が履修するために、「他学部履修」の手続きを行う必要があります・
