資格取得関係科目,,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,対象学部,備考
教育職員免許状受領資格取得関係科目,教師論,0,0,2,1年・後期,全学部,なし
教育職員免許状受領資格取得関係科目,教育原理,0,0,2,2年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,教育心理学,0,0,2,2年・後期,全学部,なし
教育職員免許状受領資格取得関係科目,教育課程論,0,0,1,２年・第3ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,教育経営学,0,0,2,3年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,特別支援教育論,0,0,1,3年・第1ターム(前期),全学部,なし
教育職員免許状受領資格取得関係科目,生徒・進路指導論,0,0,2,2年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,道徳教育論,0,0,2,2年・後期,全学部,なし
教育職員免許状受領資格取得関係科目,教育方法・技術論,0,0,2,2年・第3ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,教育相談論,0,0,2,2年・前期,全学部,なし
教育職員免許状受領資格取得関係科目,情報通信技術を活用した教育の理論,0,0,1,2年・第4ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,総合的な学習の時間論,0,0,1,2年・第4ターム(後期),全学部,なし
教育職員免許状受領資格取得関係科目,特別活動論,0,0,1,3年・第2ターム(前期),全学部,なし
教育職員免許状受領資格取得関係科目,教科教育法(数学) I,0,0,2,3年・前期,情報,なし
教育職員免許状受領資格取得関係科目,教科教育法(数学)Ⅱ,0,0,2,3年・後期,情報,なし
教育職員免許状受領資格取得関係科目,教科教育法(情報) I,0,0,2,3年・前期,情報,なし
教育職員免許状受領資格取得関係科目,教科教育法(情報)Ⅱ,0,0,2,3年・後期,情報,なし
教育職員免許状受領資格取得関係科目,教育実習Ⅰ,0,0,3,4年次,全学部,なし
教育職員免許状受領資格取得関係科目,教育実習Ⅱ,0,0,2,4年次,全学部,なし
教育職員免許状受領資格取得関係科目,教職実践演習(中等)B,0,0,2,4年・後期,情報,なし
教育職員免許状受領資格取得関係科目,教職特講,0,0,2,3年・後期,全学部,なし
