## 【ユーザークエリ】
2024年度入学の情報科学部生です。高校の情報教員免許を貰うために必要な科目、単位数を教えてください

## 【関連文】

1. ID: 2232 - 情報科学部知能工学科①免許種：高等学校教諭一種免許状（情報）教科に関する専門的事項：最低習得単位数：24単位　授業科目名/単位数/必修か選択：情報社会論（注１） 2 ○ 知的財産権2 ○ 情報と職業2 ○ コンピュータ基礎2 ○ プログラミングⅡ 2 ○ プログラミングⅡ演習1 ○ プログラミングⅢ 2 ● プログラミングⅢ演習1 ● 情報科学基礎実験ａ １ ○ 情報科学基礎実験ｂ １ ○ 情報科学基礎実験ｃ １ ○ データ構造とアルゴリズムⅡ 2 ● コンパイラ２ ● 記号処理プログラミング2 ● ソフトウェア工学概説2 ● データベース2 ○ オペレーティングシステム2 ○ 情報検索２ ● 人工知能２ ● システム開発実践2 ● 情報ネットワーク2 ○ 情報セキュリティ基礎2 ● コンピュータグラフィックスⅠ 2 ○ 画像情報処理2 ○ ディジタル信号処理2 ● コンピュータグラフィックスⅡ 2 ● 各教科の指導法：教科教育法（情報）Ⅰ 2 ○ 教科教育法（情報）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選 択科目を「●」で表示。 （卒業要件における必修・選択・自由の区 分については、教育 課程表（7ページから 39ページ）を参照す ること。） ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 （注1）　全学共通系科目 (スコア: 0.7190)
2. ID: 2230 - 情報科学部情報工学科②免許種：高等学校教諭一種免許状（情報）教科に関する専門的事項：最低習得単位数：24単位　授業科目名/単位数/必修か選択：情報社会論（注１） 2 ○ 知的財産権2 ○ 情報と職業2 ○ コンピュータ基礎2 ○ プログラミングⅡ 2 ○ プログラミングⅡ演習1 ○ プログラミングⅢ 2 ● 情報科学基礎実験ａ １ ○ 情報科学基礎実験ｂ １ ○ 情報科学基礎実験ｃ １ ○ データ構造とアルゴリズムⅡ 2 ● 情報システム開発2 ● データベース2 ○ オペレーティングシステム2 ○ システム開発実践2 ● 情報ネットワーク2 ○ 情報セキュリティ基礎2 ● デジタル信号処理2 ● ネットワーク設計２ ● ワイヤレスネットワーク2 ● ネットワークプロトコル2 ● コンピュータグラフィックスⅠ（注2） 2 ○ 画像情報処理（注2） 2 ○ ネットワーク基盤技術２ ● 各教科の指導法：教科教育法（情報）Ⅰ 2 ○ 教科教育法（情報）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（7ページから 39ページ）を参照す ること。） ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。（注1）　全学共通系科目（注2）　教職課程登録者のみ履修登録可 (スコア: 0.7139)
3. ID: 2234 - 情報科学部システム工学科②免許種：高等学校教諭一種免許状（情報）教科に関する専門的事項：最低習得単位数：24単位 授業科目名/単位数/必修か選択：情報社会論（注１） 2 ○ 知的財産権2 ○ 情報と職業2 ○ コンピュータ基礎2 ○ プログラミングⅡ 2 ○ プログラミングⅡ演習1 ○ プログラミングⅢ ２ ● プログラミングⅢ演習１ ● 情報科学基礎実験ａ １ ○ 情報科学基礎実験ｂ １ ○ 情報科学基礎実験ｃ １ ○ データ構造とアルゴリズムⅡ 2 ● 電子回路２ ● 離散時間システム２ ● 制御工学Ⅰ ２ ● ソフトコンピューティング2 ● ソフトウエア工学概論2 ● データベース（注2） 2 ○ オペレーティングシステム2 ○ ヒューマンインタフェースⅠ ２ ● システム開発実践2 ● 情報ネットワーク２ ○ 情報セキュリティ応用２ ● ディジタル無線通信２ ● コンピュータグラフィックス2 ○ 各教科の指導法：教科教育法（情報）Ⅰ 2 ○ 教科教育法（情報）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（7ページから 39ページ）を参照す ること。） ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 （注1）　全学共通系科目 （注2）　教職課程登録者のみ履修登録可 (スコア: 0.7045)
4. ID: 2235 - 情報科学部医用情報科学科免許種：高等学校教諭一種免許状（情報）教科に関する専門的事項：最低習得単位数：24単位 授業科目名/単位数/必修か選択：情報社会論（注１） 2 ○ 知的財産権2 ○ 情報と職業2 ○ コンピュータ基礎2 ○ プログラミングⅡ 2 ○ プログラミングⅡ演習1 ○ 電気電子計測２ ● 情報科学基礎実験ａ １ ○ 情報科学基礎実験ｂ １ ○ 情報科学基礎実験ｃ １ ○ データ構造とアルゴリズムⅡ 2 ● ディジタル信号処理２ ● 情報システムデータベース（注2） 2 ○ オペレーティングシステム（注2） 2 ○ 情報ネットワーク2 ○ 情報セキュリティ基礎２ ● ワイヤレスネットワーク（注2） ２ ● 医用画像処理 2 ○ 各教科の指導法：教科教育法（情報）Ⅰ 2 ○ 教科教育法（情報）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（7ページから 39ページ）を参照す ること。） ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる（注1）　全学共通系科目（注2）　教職課程登録者のみ履修登録可 (スコア: 0.6777)
5. ID: 2229 - 情報科学部情報工学科①免許種：高等学校教諭一種免許状（数学）教科に関する専門的事項：最低習得単位数：24単位　授業科目名/単位数/必修か選択：線形代数学Ⅰ 2 ○ 線形代数学Ⅱ 2 ○ 幾何学概論2 ○ 離散数学2 ○ 解析学Ⅰ 2 ○ 解析学Ⅱ 2 ○ 常微分方程式（注１） 2 ● 情報基礎数学2 ● 確率統計2 ○ 情報理論2 ● データ構造とアルゴリズムⅠ 2 ○ プログラミングⅠ 2 ○ プログラミングⅠ演習1 ○ 実社会指向基礎数学2 ● コンピュータアーキテクチャ2 ● コンピュータシステム2 ● デジタルデザイン2 ● 最適化技法2 ● 各教科の指導法：教科教育法（数学）Ⅰ 2 ○ 教科教育法（数学）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区分については、教育 課程表（7ページから 39ページ）を参照すること。） ※最低修得単位数を超えて修得した単位 は、「大学が独自に設 定する科目」の単位数に算入することができる。 （注1）　教職課程登録者のみ履修登録可 (スコア: 0.6537)
6. ID: 2241 - 情報科学部情報工学科、知能工学科、システム工学科高等学校教諭一種免許状（数学）高等学校教諭一種免許状（情報）医用情報科学科高等学校教諭一種免許状（情報） (スコア: 0.6516)
7. ID: 2233 - 情報科学部システム工学科①免許種：高等学校教諭一種免許状（数学）教科に関する専門的事項：最低習得単位数：24単位　授業科目名/単位数/必修か選択：線形代数学Ⅰ 2 ○ 線形代数学Ⅱ 2 ○ 情報代数学２ ● 幾何学概論2 ○ 離散数学2 ○ 応用幾何学2 ● パターン認識2 ● 解析学Ⅰ 2 ○ 解析学Ⅱ 2 ○ 常微分方程式2 ● 情報基礎数学2 ● 数値計算法2 ● 偏微分方程式２ ● 確率統計2 ○ 情報理論2 ● 確率過程論２ ● データ構造とアルゴリズムⅠ 2 ○ プログラミングⅠ 2 ○ プログラミングⅠ演習1 ○ 実社会指向基礎数学２ ● 各教科の指導法：教科教育法（数学）Ⅰ 2 ○ 教科教育法（数学）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（7ページから 39ページ）を参照す ること。） ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 (スコア: 0.6486)
8. ID: 2231 - 情報科学部知能工学科①免許種：高等学校教諭一種免許状（数学）教科に関する専門的事項：最低習得単位数：24単位　授業科目名/単位数/必修か選択：線形代数学Ⅰ 2 ○ 線形代数学Ⅱ 2 ○ 幾何学概論2 ○ 離散数学2 ○ グラフ理論2 ● パターン認識2 ● 解析学Ⅰ 2 ○ 解析学Ⅱ 2 ○ 常微分方程式（注１） 2 ● 情報基礎数学2 ● 数値解析2 ● 「確率論、統計学」確率統計2 ○ 情報理論2 ● オートマトンと形式言語2 ● データ構造とアルゴリズムⅠ 2 ○ プログラミングⅠ 2 ○ プログラミングⅠ演習1 ○ 実社会指向基礎数学２ ● 数理論理学2 ● 計算論2 ● 各教科の指導法：教科教育法（数学）Ⅰ 2 ○ 教科教育法（数学）Ⅱ 2 ○ ※免許取得における 必修科目を「○」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（7ページから 39ページ）を参照す ること。） ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 （注1）　教職課程登録者のみ履修登録可 (スコア: 0.6414)
9. ID: 2236 - 教育の基礎的理解に関する科目等：全学部・全免許種共通・中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示・免許状取得における必修科目を「○」、選択科目を「●」で表示 教育の基礎的理解に関する科目：最低取得単位数：10 授業科目/単位数/中一種免(必修か選択)/高一種免(必修か選択)：教育原理２ 2年・前期○ ○ 教師論２ 1年・後期○ ○ 教育経営学２ 3年・前期○ ○ 学習の過程教育心理学２ 2年・後期○ ○ 生徒に対する理解特別支援教育論１ 3年・第1ターム（前期） ○ ○（カリキュラム・マネジメントを含む。） 教育課程論１ 2年・第3ターム（後期） ○ ○ 道徳、総合的な学習の時間等の指導法及び生徒指導、教育相談等に関する科目：最低取得単位数：中一種免10単位　高一種免8単位　授業科目/単位数/中一種免(必修か選択)/高一種免(必修か選択)：道徳教育論２ 2年・後期○ 総合的な学習の時間論１ 2年・第4ターム（後期） ○ ○ 特別活動論１ 3年・第2ターム（前期） ○ ○ 教育方法・技術論１ 2年・第3ターム（後期） ○ ○ 情報通信技術を活用した教育の理論１ 2年・第4ターム（後期） ○ ○ 生徒・進路指導論２ 2年・前期○ ○ 教育相談論２ 2年・前期○ ○ 教育実践に関する科目：最低取得単位数：中一種免5単位　高一種免3単位 授業科目/単位数/中一種免(必修か選択)/高一種免(必修か選択)：教育実習Ⅰ ３ 4年次○ ○ 教育実習Ⅱ ２ 4年次○ ● 教育実践に関する科目：最低取得単位数：2単位 授業科目/単位数/中一種免(必修か選択)/高一種免(必修か選択)：教職実践演習（中等）Ａ ２ 4年・後期 ○ ○ 教職実践演習（中等）Ｂ ２ 4年・後期 ○ ○ 教職実践演習（中等）Ｃ ２ 4年・後期 ○ ○ ※ 高一種免において、最低修得単位数を超えて修得した単位は「大学が独自に設定する科目」の単位数に算入することができる。 ※「教育実習」は受講要件あり（56ページ参照）。 ※ 教職実践演習について、国際学部の学生は教職実践演習（中等）Ａを、情報科学部の学生は教職実践演習（中等）Bを、 芸術学部の学生は教職実践演習（中等）Cを履修すること。 (スコア: 0.5870)
10. ID: 2227 - 資格取得関係科目　教育職員免許状受領資格取得関係科目： 教師論 自由：2単位 1年・後期 対象：全学部 教育原理 自由：2単位 2年・前期 対象：全学部 教育心理学 自由：2単位 2年・後期 対象：全学部 教育課程論 自由：1単位 2年・第3ターム（後期） 対象：全学部 教育経営学 自由：2単位 3年・前期 対象：全学部　 特別支援教育論 自由：1単位 3年・第1ターム（前期） 対象：全学部 生徒・進路指導論 自由：2単位 2年・前期 対象：全学部 道徳教育論 自由：2単位 2年・後期 対象：全学部  教育方法・技術論 自由：1単位 2年・第3ターム（後期） 対象：全学部  教育相談論 自由：2単位 2年前期 対象：全学部 教育職員免許状受領資格取得関係科目：情報通信技術を活用した教育の理論 自由：1単位 2年・第4ターム（後期） 対象：全学部　総合的な学習の時間論 自由：1単位 2年・第4ターム（後期） 対象：全学部　特別活動論　自由：1単位 3年・第2ターム（前期） 対象：全学部 教科教育法（数学）Ⅰ 自由：2 3年・前期 対象：情報 教科教育法（数学）Ⅱ 自由：2 3年・後期 対象：情報 教科教育法（情報）Ⅰ 自由：2 3年・前期 対象：情報 教科教育法（情報）Ⅱ 自由：2 3年・後期 対象：情報 教育実習Ⅰ 自由：3 4年次 対象：全学部 教育実習Ⅱ 自由：2 4年次 対象：全学部 教職実践演習（中等）Ｂ 自由：2 4年・後期 対象：情報 教職特講 自由：2 3年・後期 対象：全学部 (スコア: 0.5798)

## 【ChatGPTの返答】
2024年度に情報科学部に入学し、高校の情報教員免許を取得するためには、以下の科目と単位数が必要です。

### 教科に関する専門的事項
- **最低習得単位数**: 24単位

#### 必修科目（○）
- 情報社会論（注1）: 2単位
- 知的財産権: 2単位
- 情報と職業: 2単位
- コンピュータ基礎: 2単位
- プログラミングⅡ: 2単位
- プログラミングⅡ演習: 1単位
- 情報科学基礎実験ａ: 1単位
- 情報科学基礎実験ｂ: 1単位
- 情報科学基礎実験ｃ: 1単位
- データベース: 2単位
- オペレーティングシステム: 2単位
- 情報ネットワーク: 2単位
- コンピュータグラフィックスⅠ: 2単位
- 画像情報処理: 2単位
- 教科教育法（情報）Ⅰ: 2単位
- 教科教育法（情報）Ⅱ: 2単位

#### 選択科目（●）
- プログラミングⅢ: 2単位
- プログラミングⅢ演習: 1単位
- データ構造とアルゴリズムⅡ: 2単位
- コンパイラ: 2単位
- 記号処理プログラミング: 2単位
- ソフトウェア工学概説: 2単位
- 情報検索: 2単位
- 人工知能: 2単位
- システム開発実践: 2単位
- 情報セキュリティ基礎: 2単位
- ディジタル信号処理: 2単位
- コンピュータグラフィックスⅡ: 2単位

### 教育の基礎的理解に関する科目
- **最低取得単位数**: 10単位
  - 教育原理: 2単位
  - 教師論: 2単位
  - 教育経営学: 2単位
  - 教育心理学: 2単位
  - 特別支援教育論: 1単位
  - 教育課程論: 1単位

### 道徳、総合的な学習の時間等に関する科目
- **最低取得単位数**: 8単位
  - 総合的な学習の時間論: 1単位
  - 特別活動論: 1単位
  - 教育方法・技術論: 1単位
  - 情報通信技術を活用した教育の理論: 1単位
  - 生徒・進路指導論: 2単位
  - 教育相談論: 2単位

### 教育実践に関する科目
- **最低取得単位数**: 3単位
  - 教育実習Ⅰ: 3単位
  - 教育実習Ⅱ: 2単位（選択）
  - 教職実践演習（中等）B: 2単位

これらの科目を履修し、必要な単位を取得することで、高等学校教諭一種免許状（情報）を取得することができます。各科目の履修時期や詳細については、教育課程表を参照してください。
